Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Label,Scaffold,Structure
1.3709811,0.57730734,-1.7218819,0.22206074,1.0413264,-0.43614143,-0.5264346,-0.30332837,-0.55452865,-1.1601926,0.111360855,2.2168782,0.15642579,-0.008251473,0.5009449,-0.10851653,1.778755,-1.2239968,-0.2873063,-0.32012582,0.032903988,-0.7672783,0.7638083,0.43392277,-0.38302395,0.5855825,-0.18396041,-1.3002833,1.4160686,-1.08435,1.3562477,-2.1949737,l0,c1ccccc1,[C-]#[N+]CC(=O)OCc1ccccc1
-0.5903143,1.2237251,-0.97981054,-0.12472767,0.3345213,-0.2666224,0.17322876,-0.78066856,-1.0077102,-0.57113224,0.2810252,2.0451212,-0.5784912,1.7200003,0.24575868,0.034868307,1.982908,0.21509624,-1.2844225,0.7000838,-0.21306977,-1.1673905,0.12317701,0.27329117,0.26917306,0.0366255,-0.8897904,-1.1597071,0.7921079,-0.31321132,1.8248696,-2.3485134,l0,c1ccccc1,COc1cc(SC)ccc1C(=O)OC(C)C(=O)NC(N)=O
1.3153015,0.64509195,-1.4922293,0.04847561,0.88504237,-0.5391809,-0.32807294,0.48117143,-1.0598904,-0.91035664,-0.57246655,2.3619306,-0.703794,1.2493513,0.10528225,0.31711578,1.896403,-0.8248708,-0.67838883,0.017829774,-0.31398475,-1.0836523,0.23902166,0.057549775,-0.13338156,0.6346618,0.08256113,-1.7283965,1.1574175,-0.55722225,1.2791469,-1.8474678,l0,c1ccccc1,CCOc1ccccc1C(N)CC(=O)O
-0.10796573,-0.018335674,-0.52783054,-0.02362095,-0.038004525,0.7115594,-0.4131064,0.83066565,-0.7795028,-0.50462383,-0.95010895,-0.66430163,2.4796069,1.8635925,0.32381955,1.170119,0.9353143,-1.1728038,0.26449552,1.975625,-0.39811006,-1.5591286,0.52662754,-1.0840601,-0.8062201,-0.16459738,-0.5609497,-0.5203078,-0.3632956,1.273361,0.22714563,-1.9250566,l0,c1ccccc1,Oc1cc(O)c(C(O)(C(F)(F)F)C(F)(F)F)cc1C(O)(C(F)(F)F)C(F)(F)F
-0.13063139,0.82639223,-1.1924689,0.117494576,0.5307187,0.6742616,0.30695465,-0.16333205,-0.712784,0.010789761,-1.0992693,1.1170464,1.5870931,0.80898607,-0.001641693,0.9365871,1.6057253,-1.282266,0.0032837423,0.8763416,-0.49967736,-2.1838253,0.64074504,-0.5235436,-0.13089903,-0.04873774,-0.50268537,-0.8131301,0.3880606,0.26229256,1.4354554,-2.843336,l0,c1ccccc1,CC(C)(CCl)C(=O)Nc1ccc(OC(F)(F)F)cc1
-0.37563005,0.41581574,-1.8089031,-0.39629507,0.97894895,-0.2919119,-0.039051443,-0.3466968,-0.25371096,-1.0235102,-0.56228554,3.043903,-0.04892668,0.1916936,-0.25356257,0.32195374,2.3946006,-1.2179451,-0.59812135,-0.118420474,0.2733499,-1.1588447,0.64597076,0.41681877,0.005139613,0.75758046,-0.032073736,-1.0932575,1.0817994,-0.4484038,1.0633245,-1.523346,l0,c1ccccc1,O=Nc1ccc(C=CC(=O)O)cc1
1.2912921,0.24256629,-0.92154986,0.25225875,-0.05230585,-0.36600456,-0.08470559,0.66208327,-1.2856477,-0.7111467,-0.49100098,1.080378,-0.3928722,1.5330844,0.6342245,-0.19973163,3.1033552,-0.1434215,-1.2567749,0.91050345,0.29014528,-1.3483152,-0.07251638,-0.76795775,-0.1985148,0.28505394,-0.62464356,-0.26841876,0.09905773,-0.70627373,1.5559614,-2.0481615,l0,c1ccccc1,CCOC(=O)CNC(=O)CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)O
0.97580725,1.0963117,-0.9172592,0.41026786,0.80474067,-0.7293801,0.3271653,0.38818553,-1.1953727,0.032842856,-0.7114233,2.6075227,-0.46577436,0.056499626,-0.1575632,-0.016147118,0.78968143,-0.34446904,-0.44269428,-0.43260825,-0.5076635,-1.6255479,0.19243556,0.25492734,0.42721415,0.074206695,-0.4504339,-1.6063648,0.762883,-0.36621004,2.654357,-1.8861376,l0,c1ccccc1,CCN(CC)C(C)C(=O)c1ccccc1
0.2294702,0.970247,-0.77389306,0.92617315,0.086868264,-0.0083187,-0.25072837,0.73756146,-1.1550204,-0.48594597,-1.6715502,2.1248245,1.0578709,0.40875483,0.38079852,0.4826924,1.122785,-0.35265428,-0.35813197,0.65354973,-0.43882933,-2.3971827,0.19567135,-0.50267524,0.155691,-0.26210985,-0.80255336,0.090084784,0.32377172,-0.13149796,1.9773793,-2.333101,l0,c1ccccc1,C=C(C)CN(CC)S(=O)(=O)c1ccc(F)cc1F
1.0646625,0.4009892,-1.7428268,-0.33983642,0.8690674,-0.6495739,-0.4948822,-0.56016827,-1.2673442,-1.0382531,0.6267027,2.5013998,0.09065996,0.9788481,-0.3474689,0.57614076,1.8052804,-1.1060346,-0.7319077,-0.26760268,-0.36530384,-0.3329282,0.73621875,0.94820225,-0.4449236,0.9663959,-0.06748567,-1.5217934,1.1071076,-0.4008782,0.71979326,-1.7122569,l0,c1ccccc1,CC(=O)OCC(O)COc1ccccc1
